n               h               x               v              v^              S*           v_fin               u             err           mul_s           div_s               
106            0.01            1.06       35.450546       35.740035      0.38598579       35.450546               0               0               0               0
107            0.01            1.07         53.2294       54.325818        1.461891         53.2294               0               0               0               0
108            0.01            1.08       100.61715       108.15115       10.045333       100.61715               0               0               0               0
109            0.01            1.09       354.89327       574.31824       292.56663       354.89327               0               0               0               0
110            0.01             1.1       14015.437       6514649.1       8667511.6       14015.437               0               0               0               0
111            0.01            1.11   1.9570144e+10   2.3696736e+30   3.1595648e+30   1.9570144e+10               0               0               0               0
112            0.01            1.12   7.3340875e+34   4.414733e+128  5.8863106e+128   7.3340875e+34               0               0               0               0
113            0.01            1.13  1.4466196e+133             inf             inf  1.4466196e+133               0               0               0               0
114            0.01            1.14             inf             inf       -nan(ind)             inf               0               0               0               0
115            0.01            1.15             inf             inf       -nan(ind)             inf               0               0               0               0
116            0.01            1.16             inf             inf       -nan(ind)             inf               0               0               0               0
117            0.01            1.17             inf             inf       -nan(ind)             inf               0               0               0               0
118            0.01            1.18             inf             inf       -nan(ind)             inf               0               0               0               0
119            0.01            1.19             inf             inf       -nan(ind)             inf               0               0               0               0
120            0.01             1.2             inf             inf       -nan(ind)             inf               0               0               0               0
121            0.01            1.21             inf             inf       -nan(ind)             inf               0               0               0               0
122            0.01            1.22             inf             inf       -nan(ind)             inf               0               0               0               0
123            0.01            1.23             inf             inf       -nan(ind)             inf               0               0               0               0
124            0.01            1.24             inf             inf       -nan(ind)             inf               0               0               0               0
125            0.01            1.25             inf             inf       -nan(ind)             inf               0               0               0               0
126            0.01            1.26             inf             inf       -nan(ind)             inf               0               0               0               0
127            0.01            1.27             inf             inf       -nan(ind)             inf               0               0               0               0
128            0.01            1.28             inf             inf       -nan(ind)             inf               0               0               0               0
129            0.01            1.29             inf             inf       -nan(ind)             inf               0               0               0               0
130            0.01             1.3             inf             inf       -nan(ind)             inf               0               0               0               0
131            0.01            1.31             inf             inf       -nan(ind)             inf               0               0               0               0
132            0.01            1.32             inf             inf       -nan(ind)             inf               0               0               0               0
133            0.01            1.33             inf             inf       -nan(ind)             inf               0               0               0               0
134            0.01            1.34             inf             inf       -nan(ind)             inf               0               0               0               0
135            0.01            1.35             inf             inf       -nan(ind)             inf               0               0               0               0
136            0.01            1.36             inf             inf       -nan(ind)             inf               0               0               0               0
137            0.01            1.37             inf             inf       -nan(ind)             inf               0               0               0               0
138            0.01            1.38             inf             inf       -nan(ind)             inf               0               0               0               0
139            0.01            1.39             inf             inf       -nan(ind)             inf               0               0               0               0
140            0.01             1.4             inf             inf       -nan(ind)             inf               0               0               0               0
141            0.01            1.41             inf             inf       -nan(ind)             inf               0               0               0               0
142            0.01            1.42             inf             inf       -nan(ind)             inf               0               0               0               0
