------------ REFERNCE ---------------

-9.256e+61	-9.256e+61
-9.256e+61	-9.256e+61
-9.256e+61	14757395258967641292
-9.256e+61	-9.256e+61
1001
14.76
55.24	-9.256e+61
0	0
0	0
1.7977e+308	0
1	2
0	0
1.7977e+308	0

------------ END_REFERNCE ---------------

n            h            x            v            y           v^           y^           S*        mul_s        div_s            
173         0.08        13.48       66.711       8.6505       66.711       8.6505   5.4172e-06            0            0
174         0.08        13.56       67.405       8.6929       67.405       8.6929   5.4749e-06            0            0
175         0.08        13.64       68.102       8.7354       68.102       8.7354    5.533e-06            0            0
176         0.08        13.72       68.802       8.7778       68.802       8.7778   5.5916e-06            0            0
177         0.08         13.8       69.506       8.8202       69.506       8.8202   5.6506e-06            0            0
178         0.08        13.88       70.213       8.8626       70.213       8.8626     5.71e-06            0            0
179         0.08        13.96       70.924        8.905       70.924        8.905   5.7699e-06            0            0
180         0.08        14.04       71.638       8.9474       71.638       8.9474   5.8302e-06            0            0
181         0.08        14.12       72.356       8.9898       72.356       8.9898    5.891e-06            0            0
182         0.08         14.2       73.077       9.0321       73.077       9.0321   5.9523e-06            0            0
183         0.08        14.28       73.801       9.0745       73.801       9.0745    6.014e-06            0            0
184         0.08        14.36       74.529       9.1168       74.529       9.1168   6.0762e-06            0            0
185         0.08        14.44        75.26       9.1591        75.26       9.1591   6.1388e-06            0            0
186         0.08        14.52       75.994       9.2014       75.994       9.2014    6.202e-06            0            0
187         0.08         14.6       76.732       9.2437       76.732       9.2437   6.2656e-06            0            0
188         0.08        14.68       77.473        9.286       77.473        9.286   6.3297e-06            0            0
189         0.08        14.76       78.218       9.3283       78.218       9.3283   6.3944e-06            0            0
190         0.08        14.84       78.966       9.3706       78.966       9.3706   6.4595e-06            0            0
191         0.08        14.92       79.717       9.4128       79.717       9.4128   6.5251e-06            0            0
192         0.08           15       80.472       9.4551       80.472       9.4551   6.5913e-06            0            0
193         0.08        15.08        81.23       9.4973        81.23       9.4973    6.658e-06            0            0
194         0.08        15.16       81.991       9.5395       81.991       9.5395   6.7252e-06            0            0
195         0.08        15.24       82.756       9.5818       82.756       9.5818    6.793e-06            0            0
196         0.08        15.32       83.524        9.624       83.524        9.624   6.8613e-06            0            0
197         0.08         15.4       84.296       9.6661       84.296       9.6662   6.9301e-06            0            0
198         0.08        15.48       85.071       9.7083       85.071       9.7083   6.9995e-06            0            0
199         0.08        15.56       85.849       9.7505       85.849       9.7505   7.0695e-06            0            0
200         0.08        15.64       86.631       9.7927       86.631       9.7927   7.1401e-06            0            0
201         0.08        15.72       87.416       9.8348       87.416       9.8348   7.2112e-06            0            0
202         0.08         15.8       88.204        9.877       88.204        9.877    7.283e-06            0            0
203         0.08        15.88       88.996       9.9191       88.996       9.9191   7.3553e-06            0            0
204         0.08        15.96       89.792       9.9612       89.792       9.9612   7.4283e-06            0            0
205         0.08        16.04        90.59       10.003        90.59       10.003   7.5019e-06            0            0
206         0.08        16.12       91.392       10.045       91.392       10.045   7.5761e-06            0            0
207         0.08         16.2       92.197       10.088       92.197       10.088   7.6509e-06            0            0
208         0.08        16.28       93.006        10.13       93.006        10.13   7.7264e-06            0            0
209         0.08        16.36       93.818       10.172       93.818       10.172   7.8025e-06            0            0
210         0.08        16.44       94.634       10.214       94.634       10.214   7.8793e-06            0            0
211         0.08        16.52       95.452       10.256       95.452       10.256   7.9568e-06            0            0
212         0.08         16.6       96.274       10.298       96.274       10.298    8.035e-06            0            0
213         0.08        16.68         97.1        10.34         97.1        10.34   8.1138e-06            0            0
214         0.08        16.76       97.929       10.382       97.929       10.382   8.1934e-06            0            0
215         0.08        16.84       98.761       10.424       98.761       10.424   8.2737e-06            0            0
216         0.08        16.92       99.597       10.466       99.597       10.466   8.3547e-06            0            0
217         0.08           17       100.44       10.508       100.44       10.508   8.4364e-06            0            0
218         0.08        17.08       101.28        10.55       101.28        10.55   8.5189e-06            0            0
219         0.08        17.16       102.12       10.592       102.12       10.592   8.6022e-06            0            0
220         0.08        17.24       102.97       10.634       102.97       10.634   8.6862e-06            0            0
221         0.08        17.32       103.83       10.676       103.83       10.676   8.7711e-06            0            0
222         0.08         17.4       104.68       10.718       104.68       10.718   8.8567e-06            0            0
223         0.08        17.48       105.54        10.76       105.54        10.76   8.9432e-06            0            0
224         0.08        17.56        106.4       10.802        106.4       10.802   9.0304e-06            0            0
225         0.08        17.64       107.27       10.844       107.27       10.844   9.1186e-06            0            0
226         0.08        17.72       108.14       10.886       108.14       10.886   9.2076e-06            0            0
227         0.08         17.8       109.01       10.928       109.01       10.928   9.2974e-06            0            0
228         0.08        17.88       109.89        10.97       109.89        10.97   9.3881e-06            0            0
229         0.08        17.96       110.77       11.011       110.77       11.011   9.4798e-06            0            0
230         0.08        18.04       111.65       11.053       111.65       11.053   9.5724e-06            0            0
231         0.08        18.12       112.53       11.095       112.53       11.095   9.6659e-06            0            0
232         0.08         18.2       113.42       11.137       113.42       11.137   9.7603e-06            0            0
233         0.08        18.28       114.32       11.179       114.32       11.179   9.8557e-06            0            0
234         0.08        18.36       115.21       11.221       115.21       11.221   9.9521e-06            0            0
235         0.08        18.44       116.11       11.263       116.11       11.263    1.005e-05            0            0
236         0.08        18.52       117.01       11.305       117.01       11.305   1.0148e-05            0            0
237         0.08         18.6       117.92       11.346       117.92       11.346   1.0247e-05            0            0
238         0.08        18.68       118.83       11.388       118.83       11.388   1.0348e-05            0            0
239         0.08        18.76       119.74        11.43       119.74        11.43    1.045e-05            0            0
240         0.08        18.84       120.66       11.472       120.66       11.472   1.0552e-05            0            0
241         0.08        18.92       121.58       11.514       121.58       11.514   1.0656e-05            0            0
242         0.08           19        122.5       11.556        122.5       11.556   1.0761e-05            0            0
243         0.08        19.08       123.43       11.597       123.43       11.597   1.0867e-05            0            0
244         0.08        19.16       124.36       11.639       124.36       11.639   1.0975e-05            0            0
245         0.08        19.24       125.29       11.681       125.29       11.681   1.1083e-05            0            0
246         0.08        19.32       126.22       11.723       126.22       11.723   1.1193e-05            0            0
247         0.08         19.4       127.16       11.765       127.16       11.765   1.1304e-05            0            0
248         0.08        19.48       128.11       11.806       128.11       11.806   1.1416e-05            0            0
249         0.08        19.56       129.05       11.848       129.05       11.848    1.153e-05            0            0
250         0.08        19.64          130        11.89          130        11.89   1.1645e-05            0            0
251         0.08        19.72       130.96       11.932       130.96       11.932   1.1761e-05            0            0
252         0.08         19.8       131.91       11.973       131.91       11.973   1.1879e-05            0            0
253         0.08        19.88       132.87       12.015       132.87       12.015   1.1998e-05            0            0
254         0.08        19.96       133.83       12.057       133.83       12.057   1.2119e-05            0            0
255         0.08        20.04        134.8       12.099        134.8       12.099   1.2241e-05            0            0
256         0.08        20.12       135.77        12.14       135.77        12.14   1.2364e-05            0            0
257         0.08         20.2       136.74       12.182       136.74       12.182   1.2489e-05            0            0
258         0.08        20.28       137.72       12.224       137.72       12.224   1.2616e-05            0            0
259         0.08        20.36        138.7       12.266        138.7       12.266   1.2744e-05            0            0
260         0.08        20.44       139.68       12.307       139.68       12.307   1.2874e-05            0            0
261         0.08        20.52       140.67       12.349       140.67       12.349   1.3006e-05            0            0
262         0.08         20.6       141.66       12.391       141.66       12.391   1.3139e-05            0            0
