------------ REFERNCE ---------------

-9.256e+61	-9.256e+61
-9.256e+61	-9.256e+61
-9.256e+61	14757395258967641292
-9.256e+61	-9.256e+61
1001
14.76
55.24	-9.256e+61
0	0
0	0
1.7977e+308	0
1	2
0	0
1.7977e+308	0

------------ END_REFERNCE ---------------

n            h            x            v            y           v^           y^           S*        mul_s        div_s            
701         0.04         43.2        554.5       24.042        554.5       24.042   1.5304e-06            0            0
702         0.04        43.24       555.47       24.063       555.47       24.063   1.5343e-06            0            0
703         0.04        43.28       556.43       24.083       556.43       24.083   1.5382e-06            0            0
704         0.04        43.32       557.39       24.104       557.39       24.104   1.5421e-06            0            0
705         0.04        43.36       558.36       24.124       558.36       24.124    1.546e-06            0            0
706         0.04         43.4       559.32       24.144       559.32       24.144   1.5499e-06            0            0
707         0.04        43.44       560.29       24.165       560.29       24.165   1.5539e-06            0            0
708         0.04        43.48       561.26       24.185       561.26       24.185   1.5578e-06            0            0
709         0.04        43.52       562.22       24.206       562.22       24.206   1.5618e-06            0            0
710         0.04        43.56       563.19       24.226       563.19       24.226   1.5658e-06            0            0
711         0.04         43.6       564.16       24.247       564.16       24.247   1.5698e-06            0            0
712         0.04        43.64       565.13       24.267       565.13       24.267   1.5738e-06            0            0
713         0.04        43.68        566.1       24.287        566.1       24.287   1.5778e-06            0            0
714         0.04        43.72       567.07       24.308       567.07       24.308   1.5818e-06            0            0
715         0.04        43.76       568.05       24.328       568.05       24.328   1.5859e-06            0            0
716         0.04         43.8       569.02       24.349       569.02       24.349     1.59e-06            0            0
717         0.04        43.84          570       24.369          570       24.369    1.594e-06            0            0
718         0.04        43.88       570.97        24.39       570.97        24.39   1.5981e-06            0            0
719         0.04        43.92       571.95        24.41       571.95        24.41   1.6022e-06            0            0
720         0.04        43.96       572.92        24.43       572.92        24.43   1.6063e-06            0            0
721         0.04           44        573.9       24.451        573.9       24.451   1.6105e-06            0            0
722         0.04        44.04       574.88       24.471       574.88       24.471   1.6146e-06            0            0
723         0.04        44.08       575.86       24.492       575.86       24.492   1.6188e-06            0            0
724         0.04        44.12       576.84       24.512       576.84       24.512   1.6229e-06            0            0
725         0.04        44.16       577.82       24.532       577.82       24.532   1.6271e-06            0            0
726         0.04         44.2        578.8       24.553        578.8       24.553   1.6313e-06            0            0
727         0.04        44.24       579.78       24.573       579.78       24.573   1.6355e-06            0            0
728         0.04        44.28       580.77       24.594       580.77       24.594   1.6397e-06            0            0
729         0.04        44.32       581.75       24.614       581.75       24.614    1.644e-06            0            0
730         0.04        44.36       582.74       24.635       582.74       24.635   1.6482e-06            0            0
731         0.04         44.4       583.72       24.655       583.72       24.655   1.6525e-06            0            0
732         0.04        44.44       584.71       24.675       584.71       24.675   1.6568e-06            0            0
733         0.04        44.48        585.7       24.696        585.7       24.696   1.6611e-06            0            0
734         0.04        44.52       586.68       24.716       586.68       24.716   1.6654e-06            0            0
735         0.04        44.56       587.67       24.737       587.67       24.737   1.6697e-06            0            0
736         0.04         44.6       588.66       24.757       588.66       24.757   1.6741e-06            0            0
737         0.04        44.64       589.65       24.777       589.65       24.777   1.6784e-06            0            0
738         0.04        44.68       590.65       24.798       590.65       24.798   1.6828e-06            0            0
739         0.04        44.72       591.64       24.818       591.64       24.818   1.6872e-06            0            0
740         0.04        44.76       592.63       24.839       592.63       24.839   1.6916e-06            0            0
741         0.04         44.8       593.62       24.859       593.62       24.859    1.696e-06            0            0
742         0.04        44.84       594.62       24.879       594.62       24.879   1.7004e-06            0            0
743         0.04        44.88       595.62         24.9       595.62         24.9   1.7049e-06            0            0
744         0.04        44.92       596.61        24.92       596.61        24.92   1.7094e-06            0            0
745         0.04        44.96       597.61       24.941       597.61       24.941   1.7138e-06            0            0
746         0.04           45       598.61       24.961       598.61       24.961   1.7183e-06            0            0
747         0.04        45.04       599.61       24.982       599.61       24.982   1.7228e-06            0            0
748         0.04        45.08       600.61       25.002       600.61       25.002   1.7274e-06            0            0
749         0.04        45.12       601.61       25.022       601.61       25.022   1.7319e-06            0            0
750         0.04        45.16       602.61       25.043       602.61       25.043   1.7365e-06            0            0
751         0.04         45.2       603.61       25.063       603.61       25.063   1.7411e-06            0            0
752         0.04        45.24       604.61       25.084       604.61       25.084   1.7456e-06            0            0
753         0.04        45.28       605.62       25.104       605.62       25.104   1.7503e-06            0            0
754         0.04        45.32       606.62       25.124       606.62       25.124   1.7549e-06            0            0
755         0.04        45.36       607.63       25.145       607.63       25.145   1.7595e-06            0            0
756         0.04         45.4       608.63       25.165       608.63       25.165   1.7642e-06            0            0
757         0.04        45.44       609.64       25.186       609.64       25.186   1.7689e-06            0            0
758         0.04        45.48       610.65       25.206       610.65       25.206   1.7736e-06            0            0
759         0.04        45.52       611.66       25.226       611.66       25.226   1.7783e-06            0            0
760         0.04        45.56       612.66       25.247       612.66       25.247    1.783e-06            0            0
761         0.04         45.6       613.68       25.267       613.68       25.267   1.7877e-06            0            0
762         0.04        45.64       614.69       25.288       614.69       25.288   1.7925e-06            0            0
763         0.04        45.68        615.7       25.308        615.7       25.308   1.7973e-06            0            0
764         0.04        45.72       616.71       25.328       616.71       25.328   1.8021e-06            0            0
765         0.04        45.76       617.72       25.349       617.72       25.349   1.8069e-06            0            0
766         0.04         45.8       618.74       25.369       618.74       25.369   1.8117e-06            0            0
767         0.04        45.84       619.75        25.39       619.75        25.39   1.8166e-06            0            0
768         0.04        45.88       620.77        25.41       620.77        25.41   1.8214e-06            0            0
769         0.04        45.92       621.79        25.43       621.79        25.43   1.8263e-06            0            0
770         0.04        45.96        622.8       25.451        622.8       25.451   1.8312e-06            0            0
771         0.04           46       623.82       25.471       623.82       25.471   1.8361e-06            0            0
772         0.04        46.04       624.84       25.492       624.84       25.492   1.8411e-06            0            0
773         0.04        46.08       625.86       25.512       625.86       25.512    1.846e-06            0            0
774         0.04        46.12       626.88       25.532       626.88       25.532    1.851e-06            0            0
775         0.04        46.16        627.9       25.553        627.9       25.553    1.856e-06            0            0
776         0.04         46.2       628.93       25.573       628.93       25.573    1.861e-06            0            0
777         0.04        46.24       629.95       25.594       629.95       25.594   1.8661e-06            0            0
778         0.04        46.28       630.97       25.614       630.97       25.614   1.8711e-06            0            0
779         0.04        46.32          632       25.634          632       25.634   1.8762e-06            0            0
780         0.04        46.36       633.03       25.655       633.03       25.655   1.8813e-06            0            0
781         0.04         46.4       634.05       25.675       634.05       25.675   1.8864e-06            0            0
782         0.04        46.44       635.08       25.696       635.08       25.696   1.8915e-06            0            0
783         0.04        46.48       636.11       25.716       636.11       25.716   1.8967e-06            0            0
784         0.04        46.52       637.14       25.736       637.14       25.736   1.9019e-06            0            0
785         0.04        46.56       638.17       25.757       638.17       25.757   1.9071e-06            0            0
786         0.04         46.6        639.2       25.777        639.2       25.777   1.9123e-06            0            0
787         0.04        46.64       640.23       25.798       640.23       25.798   1.9175e-06            0            0
788         0.04        46.68       641.26       25.818       641.26       25.818   1.9228e-06            0            0
789         0.04        46.72       642.29       25.838       642.29       25.838    1.928e-06            0            0
790         0.04        46.76       643.33       25.859       643.33       25.859   1.9333e-06            0            0
791         0.04         46.8       644.36       25.879       644.36       25.879   1.9386e-06            0            0
792         0.04        46.84        645.4         25.9        645.4         25.9    1.944e-06            0            0
793         0.04        46.88       646.44        25.92       646.44        25.92   1.9493e-06            0            0
794         0.04        46.92       647.47        25.94       647.47        25.94   1.9547e-06            0            0
795         0.04        46.96       648.51       25.961       648.51       25.961   1.9601e-06            0            0
796         0.04           47       649.55       25.981       649.55       25.981   1.9655e-06            0            0
797         0.04        47.04       650.59       26.002       650.59       26.002    1.971e-06            0            0
798         0.04        47.08       651.63       26.022       651.63       26.022   1.9764e-06            0            0
799         0.04        47.12       652.67       26.042       652.67       26.042   1.9819e-06            0            0
800         0.04        47.16       653.71       26.063       653.71       26.063   1.9874e-06            0            0
801         0.04         47.2       654.76       26.083       654.76       26.083    1.993e-06            0            0
802         0.04        47.24        655.8       26.104        655.8       26.104   1.9985e-06            0            0
803         0.04        47.28       656.84       26.124       656.84       26.124   2.0041e-06            0            0
804         0.04        47.32       657.89       26.144       657.89       26.144   2.0097e-06            0            0
805         0.04        47.36       658.94       26.165       658.94       26.165   2.0153e-06            0            0
806         0.04         47.4       659.98       26.185       659.98       26.185    2.021e-06            0            0
807         0.04        47.44       661.03       26.205       661.03       26.205   2.0266e-06            0            0
808         0.04        47.48       662.08       26.226       662.08       26.226   2.0323e-06            0            0
809         0.04        47.52       663.13       26.246       663.13       26.246    2.038e-06            0            0
810         0.04        47.56       664.18       26.267       664.18       26.267   2.0438e-06            0            0
811         0.04         47.6       665.23       26.287       665.23       26.287   2.0495e-06            0            0
812         0.04        47.64       666.28       26.307       666.28       26.307   2.0553e-06            0            0
813         0.04        47.68       667.33       26.328       667.33       26.328   2.0611e-06            0            0
814         0.04        47.72       668.39       26.348       668.39       26.348    2.067e-06            0            0
815         0.04        47.76       669.44       26.369       669.44       26.369   2.0728e-06            0            0
816         0.04         47.8        670.5       26.389        670.5       26.389   2.0787e-06            0            0
817         0.04        47.84       671.55       26.409       671.55       26.409   2.0846e-06            0            0
818         0.04        47.88       672.61        26.43       672.61        26.43   2.0905e-06            0            0
819         0.04        47.92       673.67        26.45       673.67        26.45   2.0965e-06            0            0
820         0.04        47.96       674.73        26.47       674.73        26.47   2.1025e-06            0            0
821         0.04           48       675.79       26.491       675.79       26.491   2.1085e-06            0            0
822         0.04        48.04       676.85       26.511       676.85       26.511   2.1145e-06            0            0
823         0.04        48.08       677.91       26.532       677.91       26.532   2.1206e-06            0            0
824         0.04        48.12       678.97       26.552       678.97       26.552   2.1267e-06            0            0
825         0.04        48.16       680.03       26.572       680.03       26.572   2.1328e-06            0            0
826         0.04         48.2       681.09       26.593       681.09       26.593   2.1389e-06            0            0
827         0.04        48.24       682.16       26.613       682.16       26.613   2.1451e-06            0            0
828         0.04        48.28       683.22       26.634       683.22       26.634   2.1513e-06            0            0
829         0.04        48.32       684.29       26.654       684.29       26.654   2.1575e-06            0            0
830         0.04        48.36       685.35       26.674       685.35       26.674   2.1637e-06            0            0
831         0.04         48.4       686.42       26.695       686.42       26.695     2.17e-06            0            0
832         0.04        48.44       687.49       26.715       687.49       26.715   2.1763e-06            0            0
833         0.04        48.48       688.56       26.735       688.56       26.735   2.1826e-06            0            0
834         0.04        48.52       689.63       26.756       689.63       26.756    2.189e-06            0            0
835         0.04        48.56        690.7       26.776        690.7       26.776   2.1954e-06            0            0
836         0.04         48.6       691.77       26.797       691.77       26.797   2.2018e-06            0            0
837         0.04        48.64       692.84       26.817       692.84       26.817   2.2082e-06            0            0
838         0.04        48.68       693.92       26.837       693.92       26.837   2.2147e-06            0            0
839         0.04        48.72       694.99       26.858       694.99       26.858   2.2212e-06            0            0
840         0.04        48.76       696.07       26.878       696.07       26.878   2.2277e-06            0            0
841         0.04         48.8       697.14       26.899       697.14       26.899   2.2343e-06            0            0
842         0.04        48.84       698.22       26.919       698.22       26.919   2.2408e-06            0            0
843         0.04        48.88       699.29       26.939       699.29       26.939   2.2475e-06            0            0
844         0.04        48.92       700.37        26.96       700.37        26.96   2.2541e-06            0            0
845         0.04        48.96       701.45        26.98       701.45        26.98   2.2608e-06            0            0
846         0.04           49       702.53           27       702.53           27   2.2675e-06            0            0
847         0.04        49.04       703.61       27.021       703.61       27.021   2.2742e-06            0            0
848         0.04        49.08       704.69       27.041       704.69       27.041    2.281e-06            0            0
849         0.04        49.12       705.77       27.062       705.77       27.062   2.2878e-06            0            0
850         0.04        49.16       706.86       27.082       706.86       27.082   2.2946e-06            0            0
851         0.04         49.2       707.94       27.102       707.94       27.102   2.3015e-06            0            0
852         0.04        49.24       709.03       27.123       709.03       27.123   2.3084e-06            0            0
853         0.04        49.28       710.11       27.143       710.11       27.143   2.3153e-06            0            0
854         0.04        49.32        711.2       27.163        711.2       27.163   2.3222e-06            0            0
855         0.04        49.36       712.28       27.184       712.28       27.184   2.3292e-06            0            0
856         0.04         49.4       713.37       27.204       713.37       27.204   2.3362e-06            0            0
857         0.04        49.44       714.46       27.225       714.46       27.225   2.3433e-06            0            0
858         0.04        49.48       715.55       27.245       715.55       27.245   2.3504e-06            0            0
859         0.04        49.52       716.64       27.265       716.64       27.265   2.3575e-06            0            0
860         0.04        49.56       717.73       27.286       717.73       27.286   2.3647e-06            0            0
861         0.04         49.6       718.82       27.306       718.82       27.306   2.3718e-06            0            0
862         0.04        49.64       719.92       27.326       719.92       27.326   2.3791e-06            0            0
863         0.04        49.68       721.01       27.347       721.01       27.347   2.3863e-06            0            0
864         0.04        49.72        722.1       27.367        722.1       27.367   2.3936e-06            0            0
865         0.04        49.76        723.2       27.388        723.2       27.388   2.4009e-06            0            0
866         0.04         49.8       724.29       27.408       724.29       27.408   2.4083e-06            0            0
867         0.04        49.84       725.39       27.428       725.39       27.428   2.4157e-06            0            0
868         0.04        49.88       726.49       27.449       726.49       27.449   2.4231e-06            0            0
869         0.04        49.92       727.59       27.469       727.59       27.469   2.4306e-06            0            0
870         0.04        49.96       728.69       27.489       728.69       27.489   2.4381e-06            0            0
871         0.04           50       729.79        27.51       729.79        27.51   2.4456e-06            0            0
872         0.04        50.04       730.89        27.53       730.89        27.53   2.4532e-06            0            0
873         0.04        50.08       731.99        27.55       731.99        27.55   2.4608e-06            0            0
874         0.04        50.12       733.09       27.571       733.09       27.571   2.4685e-06            0            0
875         0.04        50.16       734.19       27.591       734.19       27.591   2.4762e-06            0            0
876         0.04         50.2        735.3       27.612        735.3       27.612   2.4839e-06            0            0
877         0.04        50.24        736.4       27.632        736.4       27.632   2.4917e-06            0            0
878         0.04        50.28       737.51       27.652       737.51       27.652   2.4995e-06            0            0
879         0.04        50.32       738.62       27.673       738.62       27.673   2.5073e-06            0            0
880         0.04        50.36       739.72       27.693       739.72       27.693   2.5152e-06            0            0
881         0.04         50.4       740.83       27.713       740.83       27.713   2.5231e-06            0            0
882         0.04        50.44       741.94       27.734       741.94       27.734   2.5311e-06            0            0
883         0.04        50.48       743.05       27.754       743.05       27.754   2.5391e-06            0            0
884         0.04        50.52       744.16       27.775       744.16       27.775   2.5472e-06            0            0
885         0.04        50.56       745.27       27.795       745.27       27.795   2.5552e-06            0            0
886         0.04         50.6       746.38       27.815       746.38       27.815   2.5634e-06            0            0
887         0.04        50.64        747.5       27.836        747.5       27.836   2.5715e-06            0            0
888         0.04        50.68       748.61       27.856       748.61       27.856   2.5798e-06            0            0
889         0.04        50.72       749.72       27.876       749.72       27.876    2.588e-06            0            0
890         0.04        50.76       750.84       27.897       750.84       27.897   2.5963e-06            0            0
891         0.04         50.8       751.96       27.917       751.96       27.917   2.6046e-06            0            0
892         0.04        50.84       753.07       27.937       753.07       27.937    2.613e-06            0            0
893         0.04        50.88       754.19       27.958       754.19       27.958   2.6215e-06            0            0
894         0.04        50.92       755.31       27.978       755.31       27.978   2.6299e-06            0            0
895         0.04        50.96       756.43       27.999       756.43       27.999   2.6384e-06            0            0
896         0.04           51       757.55       28.019       757.55       28.019    2.647e-06            0            0
897         0.04        51.04       758.67       28.039       758.67       28.039   2.6556e-06            0            0
898         0.04        51.08       759.79        28.06       759.79        28.06   2.6642e-06            0            0
899         0.04        51.12       760.92        28.08       760.92        28.08   2.6729e-06            0            0
900         0.04        51.16       762.04         28.1       762.04         28.1   2.6817e-06            0            0
901         0.04         51.2       763.16       28.121       763.16       28.121   2.6905e-06            0            0
902         0.04        51.24       764.29       28.141       764.29       28.141   2.6993e-06            0            0
903         0.04        51.28       765.42       28.161       765.42       28.161   2.7082e-06            0            0
904         0.04        51.32       766.54       28.182       766.54       28.182   2.7171e-06            0            0
905         0.04        51.36       767.67       28.202       767.67       28.202   2.7261e-06            0            0
906         0.04         51.4        768.8       28.223        768.8       28.223   2.7351e-06            0            0
907         0.04        51.44       769.93       28.243       769.93       28.243   2.7442e-06            0            0
908         0.04        51.48       771.06       28.263       771.06       28.263   2.7533e-06            0            0
909         0.04        51.52       772.19       28.284       772.19       28.284   2.7625e-06            0            0
910         0.04        51.56       773.32       28.304       773.32       28.304   2.7717e-06            0            0
911         0.04         51.6       774.45       28.324       774.45       28.324    2.781e-06            0            0
912         0.04        51.64       775.59       28.345       775.59       28.345   2.7903e-06            0            0
913         0.04        51.68       776.72       28.365       776.72       28.365   2.7997e-06            0            0
914         0.04        51.72       777.86       28.385       777.86       28.385   2.8092e-06            0            0
915         0.04        51.76       778.99       28.406       778.99       28.406   2.8186e-06            0            0
916         0.04         51.8       780.13       28.426       780.13       28.426   2.8282e-06            0            0
917         0.04        51.84       781.27       28.446       781.27       28.446   2.8378e-06            0            0
918         0.04        51.88        782.4       28.467        782.4       28.467   2.8474e-06            0            0
919         0.04        51.92       783.54       28.487       783.54       28.487   2.8571e-06            0            0
920         0.04        51.96       784.68       28.508       784.68       28.508   2.8669e-06            0            0
921         0.04           52       785.82       28.528       785.82       28.528   2.8767e-06            0            0
922         0.04        52.04       786.97       28.548       786.97       28.548   2.8865e-06            0            0
923         0.04        52.08       788.11       28.569       788.11       28.569   2.8965e-06            0            0
924         0.04        52.12       789.25       28.589       789.25       28.589   2.9064e-06            0            0
925         0.04        52.16       790.39       28.609       790.39       28.609   2.9165e-06            0            0
926         0.04         52.2       791.54        28.63       791.54        28.63   2.9266e-06            0            0
927         0.04        52.24       792.69        28.65       792.69        28.65   2.9367e-06            0            0
928         0.04        52.28       793.83        28.67       793.83        28.67    2.947e-06            0            0
929         0.04        52.32       794.98       28.691       794.98       28.691   2.9572e-06            0            0
930         0.04        52.36       796.13       28.711       796.13       28.711   2.9676e-06            0            0
931         0.04         52.4       797.28       28.731       797.28       28.731   2.9779e-06            0            0
932         0.04        52.44       798.43       28.752       798.43       28.752   2.9884e-06            0            0
933         0.04        52.48       799.58       28.772       799.58       28.772   2.9989e-06            0            0
934         0.04        52.52       800.73       28.793       800.73       28.793   3.0095e-06            0            0
935         0.04        52.56       801.88       28.813       801.88       28.813   3.0201e-06            0            0
936         0.04         52.6       803.03       28.833       803.03       28.833   3.0308e-06            0            0
937         0.04        52.64       804.19       28.854       804.19       28.854   3.0416e-06            0            0
938         0.04        52.68       805.34       28.874       805.34       28.874   3.0525e-06            0            0
939         0.04        52.72        806.5       28.894        806.5       28.894   3.0634e-06            0            0
940         0.04        52.76       807.65       28.915       807.65       28.915   3.0743e-06            0            0
941         0.04         52.8       808.81       28.935       808.81       28.935   3.0853e-06            0            0
942         0.04        52.84       809.97       28.955       809.97       28.955   3.0964e-06            0            0
943         0.04        52.88       811.13       28.976       811.13       28.976   3.1076e-06            0            0
944         0.04        52.92       812.28       28.996       812.28       28.996   3.1189e-06            0            0
945         0.04        52.96       813.44       29.016       813.44       29.016   3.1302e-06            0            0
946         0.04           53       814.61       29.037       814.61       29.037   3.1415e-06            0            0
947         0.04        53.04       815.77       29.057       815.77       29.057    3.153e-06            0            0
948         0.04        53.08       816.93       29.077       816.93       29.077   3.1645e-06            0            0
949         0.04        53.12       818.09       29.098       818.09       29.098   3.1761e-06            0            0
950         0.04        53.16       819.26       29.118       819.26       29.118   3.1877e-06            0            0
951         0.04         53.2       820.42       29.139       820.42       29.139   3.1995e-06            0            0
952         0.04        53.24       821.59       29.159       821.59       29.159   3.2113e-06            0            0
953         0.04        53.28       822.76       29.179       822.76       29.179   3.2232e-06            0            0
954         0.04        53.32       823.92         29.2       823.92         29.2   3.2351e-06            0            0
955         0.04        53.36       825.09        29.22       825.09        29.22   3.2472e-06            0            0
956         0.04         53.4       826.26        29.24       826.26        29.24   3.2593e-06            0            0
957         0.04        53.44       827.43       29.261       827.43       29.261   3.2715e-06            0            0
958         0.04        53.48        828.6       29.281        828.6       29.281   3.2837e-06            0            0
959         0.04        53.52       829.77       29.301       829.77       29.301   3.2961e-06            0            0
960         0.04        53.56       830.95       29.322       830.95       29.322   3.3085e-06            0            0
961         0.04         53.6       832.12       29.342       832.12       29.342    3.321e-06            0            0
962         0.04        53.64       833.29       29.362       833.29       29.362   3.3336e-06            0            0
963         0.04        53.68       834.47       29.383       834.47       29.383   3.3463e-06            0            0
964         0.04        53.72       835.64       29.403       835.64       29.403    3.359e-06            0            0
965         0.04        53.76       836.82       29.423       836.82       29.423   3.3719e-06            0            0
966         0.04         53.8          838       29.444          838       29.444   3.3848e-06            0            0
967         0.04        53.84       839.18       29.464       839.18       29.464   3.3978e-06            0            0
968         0.04        53.88       840.36       29.484       840.36       29.484   3.4109e-06            0            0
969         0.04        53.92       841.54       29.505       841.54       29.505   3.4241e-06            0            0
970         0.04        53.96       842.72       29.525       842.72       29.525   3.4374e-06            0            0
971         0.04           54        843.9       29.545        843.9       29.545   3.4507e-06            0            0
972         0.04        54.04       845.08       29.566       845.08       29.566   3.4642e-06            0            0
973         0.04        54.08       846.26       29.586       846.26       29.586   3.4777e-06            0            0
974         0.04        54.12       847.45       29.606       847.45       29.606   3.4914e-06            0            0
975         0.04        54.16       848.63       29.627       848.63       29.627   3.5051e-06            0            0
976         0.04         54.2       849.82       29.647       849.82       29.647   3.5189e-06            0            0
977         0.04        54.24          851       29.668          851       29.668   3.5328e-06            0            0
978         0.04        54.28       852.19       29.688       852.19       29.688   3.5469e-06            0            0
979         0.04        54.32       853.38       29.708       853.38       29.708    3.561e-06            0            0
980         0.04        54.36       854.57       29.729       854.57       29.729   3.5752e-06            0            0
981         0.04         54.4       855.76       29.749       855.76       29.749   3.5895e-06            0            0
982         0.04        54.44       856.95       29.769       856.95       29.769   3.6039e-06            0            0
983         0.04        54.48       858.14        29.79       858.14        29.79   3.6184e-06            0            0
984         0.04        54.52       859.33        29.81       859.33        29.81   3.6331e-06            0            0
985         0.04        54.56       860.52        29.83       860.52        29.83   3.6478e-06            0            0
986         0.04         54.6       861.72       29.851       861.72       29.851   3.6626e-06            0            0
987         0.04        54.64       862.91       29.871       862.91       29.871   3.6775e-06            0            0
988         0.04        54.68       864.11       29.891       864.11       29.891   3.6926e-06            0            0
989         0.04        54.72        865.3       29.912        865.3       29.912   3.7077e-06            0            0
990         0.04        54.76        866.5       29.932        866.5       29.932    3.723e-06            0            0
991         0.04         54.8        867.7       29.952        867.7       29.952   3.7384e-06            0            0
992         0.04        54.84       868.89       29.973       868.89       29.973   3.7538e-06            0            0
993         0.04        54.88       870.09       29.993       870.09       29.993   3.7694e-06            0            0
994         0.04        54.92       871.29       30.013       871.29       30.013   3.7851e-06            0            0
995         0.04        54.96        872.5       30.034        872.5       30.034    3.801e-06            0            0
996         0.04           55        873.7       30.054        873.7       30.054   3.8169e-06            0            0
997         0.04        55.04        874.9       30.074        874.9       30.074    3.833e-06            0            0
998         0.04        55.08        876.1       30.095        876.1       30.095   3.8492e-06            0            0
999         0.04        55.12       877.31       30.115       877.31       30.115   3.8655e-06            0            0
1000         0.04        55.16       878.51       30.135       878.51       30.135   3.8819e-06            0            0
1001         0.04         55.2       879.72       30.156       879.72       30.156   3.8985e-06            0            0
